date,varekonsum
2007-05-01,110.3
2007-06-01,118
2007-07-01,112.2
2007-08-01,115.2
2007-09-01,106.7
2007-10-01,113.6
2007-11-01,116.5
2007-12-01,139.2
2008-01-01,108.1
2008-02-01,104.2
2008-03-01,107.3
2008-04-01,112.6
2008-05-01,115.9
2008-06-01,116.7
2008-07-01,114.4
2008-08-01,112
2008-09-01,107.9
2008-10-01,110
2008-11-01,108.6
2008-12-01,137.9
2009-01-01,103
2009-02-01,95.6
2009-03-01,104.1
2009-04-01,104.9
2009-05-01,110.7
2009-06-01,114.4
2009-07-01,116
2009-08-01,112.6
2009-09-01,109.7
2009-10-01,116.4
2009-11-01,113.1
2009-12-01,144.8
2010-01-01,111.9
2010-02-01,104.3
2010-03-01,120.3
2010-04-01,105
2010-05-01,112.5
2010-06-01,121
2010-07-01,119.7
2010-08-01,115.9
2010-09-01,113.5
2010-10-01,117.3
2010-11-01,123.5
2010-12-01,148.3
2011-01-01,109.6
2011-02-01,105
2011-03-01,114.3
2011-04-01,114.3
2011-05-01,119.6
2011-06-01,121.3
2011-07-01,117.6
2011-08-01,121.8
2011-09-01,116.6
2011-10-01,118.7
2011-11-01,123.4
2011-12-01,148.3
2012-01-01,114.2
2012-02-01,110
2012-03-01,120.1
2012-04-01,112.4
2012-05-01,123.7
2012-06-01,127.5
2012-07-01,121.9
2012-08-01,125.6
2012-09-01,118.2
2012-10-01,124.2
2012-11-01,126.9
2012-12-01,149.4
2013-01-01,119.9
2013-02-01,110.6
2013-03-01,120.2
2013-04-01,119.3
2013-05-01,125.4
2013-06-01,128
2013-07-01,124.8
2013-08-01,126.4
2013-09-01,117.2
2013-10-01,124.4
2013-11-01,126.6
2013-12-01,150.4
2014-01-01,118.8
2014-02-01,109.2
2014-03-01,120.3
2014-04-01,119.7
2014-05-01,127.1
2014-06-01,128.6
2014-07-01,126.3
2014-08-01,125.7
2014-09-01,120.6
2014-10-01,126.3
2014-11-01,125.6
2014-12-01,158.5
2015-01-01,119.1
2015-02-01,111.1
2015-03-01,128.4
2015-04-01,117.6
2015-05-01,125
2015-06-01,135.7
2015-07-01,129.8
2015-08-01,126
2015-09-01,120.8
2015-10-01,127.3
2015-11-01,127.5
2015-12-01,156.9
2016-01-01,119.9
2016-02-01,116.8
2016-03-01,123.9
2016-04-01,123.7
2016-05-01,126.6
2016-06-01,135.8
2016-07-01,122.9
2016-08-01,129
2016-09-01,120.9
2016-10-01,121.1
2016-11-01,132.3
2016-12-01,158.5
2017-01-01,121.7
2017-02-01,114.5
2017-03-01,130
2017-04-01,117.4
2017-05-01,133.2
2017-06-01,139.7
2017-07-01,126.9
2017-08-01,133.3
2017-09-01,124.7
2017-10-01,123.7
2017-11-01,137.6
2017-12-01,164.3
2018-01-01,122.9
2018-02-01,116.6
2018-03-01,137.7
2018-04-01,124.6
2018-05-01,137.3
2018-06-01,146
2018-07-01,128.4
2018-08-01,140
2018-09-01,122.4
2018-10-01,129.7
2018-11-01,138.8
2018-12-01,161.3
2019-01-01,124.3
2019-02-01,115.6
2019-03-01,135.3
2019-04-01,127.6
2019-05-01,137.4
2019-06-01,142.3
2019-07-01,134.3
2019-08-01,139.3
2019-09-01,124.9
2019-10-01,128.7
2019-11-01,140.4
2019-12-01,158.8
2020-01-01,124.3
2020-02-01,124
2020-03-01,129.4
2020-04-01,126.9
2020-05-01,141.9
2020-06-01,157.2
2020-07-01,152.3
2020-08-01,141.6
2020-09-01,142.4
2020-10-01,147.7
2020-11-01,154.5
2020-12-01,182.5
2021-01-01,138.1
2021-02-01,133.5
2021-03-01,156.2
2021-04-01,136.4
2021-05-01,154.1
2021-06-01,170.7
2021-07-01,154.2
2021-08-01,151.2
2021-09-01,147.7
2021-10-01,145.3
2021-11-01,163.3
2021-12-01,188.7
2022-01-01,133.2
2022-02-01,127.4
2022-03-01,151.8
2022-04-01,141.5
2022-05-01,147.1
2022-06-01,156.6
2022-07-01,134
2022-08-01,143.9
2022-09-01,139
2022-10-01,138.3
2022-11-01,161
2022-12-01,196.1
2023-01-01,124.2
2023-02-01,121.9
2023-03-01,152.6
2023-04-01,128.6
2023-05-01,144
2023-06-01,153.4
2023-07-01,130.7
2023-08-01,139.2
2023-09-01,130.9
2023-10-01,133.6
2023-11-01,152.2
2023-12-01,167.5
