date,verdi_47_5
2007-05-01,85.2
2007-06-01,98.3
2007-07-01,91.6
2007-08-01,99.4
2007-09-01,90.8
2007-10-01,98.3
2007-11-01,100.6
2007-12-01,108.8
2008-01-01,83
2008-02-01,75.7
2008-03-01,70.6
2008-04-01,84.5
2008-05-01,89.7
2008-06-01,97.2
2008-07-01,93.5
2008-08-01,97.4
2008-09-01,93
2008-10-01,94.6
2008-11-01,89.7
2008-12-01,103.5
2009-01-01,76.2
2009-02-01,63
2009-03-01,70.3
2009-04-01,69.8
2009-05-01,82.3
2009-06-01,94.1
2009-07-01,95.2
2009-08-01,96.2
2009-09-01,92.1
2009-10-01,96.6
2009-11-01,95.1
2009-12-01,110.2
2010-01-01,78.7
2010-02-01,66.5
2010-03-01,76.5
2010-04-01,70.1
2010-05-01,80
2010-06-01,99.3
2010-07-01,96.5
2010-08-01,97
2010-09-01,94.2
2010-10-01,95.6
2010-11-01,99.7
2010-12-01,110.2
2011-01-01,75.9
2011-02-01,67.1
2011-03-01,74.6
2011-04-01,74.7
2011-05-01,86.6
2011-06-01,96.1
2011-07-01,95.6
2011-08-01,102.6
2011-09-01,94.5
2011-10-01,97.9
2011-11-01,102.4
2011-12-01,115.5
2012-01-01,82.2
2012-02-01,74.3
2012-03-01,82.1
2012-04-01,76.1
2012-05-01,89.3
2012-06-01,105.3
2012-07-01,98.3
2012-08-01,104.6
2012-09-01,93.7
2012-10-01,99.7
2012-11-01,102.3
2012-12-01,108.7
2013-01-01,85.2
2013-02-01,71.8
2013-03-01,71.7
2013-04-01,81.7
2013-05-01,90.3
2013-06-01,102.4
2013-07-01,99.7
2013-08-01,105
2013-09-01,95.3
2013-10-01,101.2
2013-11-01,102.4
2013-12-01,110.2
2014-01-01,84.1
2014-02-01,75.4
2014-03-01,83.4
2014-04-01,85.7
2014-05-01,96.4
2014-06-01,104.7
2014-07-01,99.3
2014-08-01,104.9
2014-09-01,100.1
2014-10-01,105.7
2014-11-01,103.4
2014-12-01,115.8
2015-01-01,85
2015-02-01,77.2
2015-03-01,88.2
2015-04-01,85.9
2015-05-01,95.8
2015-06-01,112.7
2015-07-01,108.2
2015-08-01,105.8
2015-09-01,103.1
2015-10-01,108
2015-11-01,111
2015-12-01,119.2
2016-01-01,83.1
2016-02-01,80.4
2016-03-01,80.1
2016-04-01,96.3
2016-05-01,97.6
2016-06-01,113.3
2016-07-01,105.5
2016-08-01,113.6
2016-09-01,105.5
2016-10-01,108
2016-11-01,115.3
2016-12-01,120
2017-01-01,87
2017-02-01,80.5
2017-03-01,91.8
2017-04-01,86.4
2017-05-01,106.9
2017-06-01,116.9
2017-07-01,109.9
2017-08-01,115.7
2017-09-01,105.6
2017-10-01,107.9
2017-11-01,118
2017-12-01,116.6
2018-01-01,88.1
2018-02-01,79.6
2018-03-01,83.5
2018-04-01,92.3
2018-05-01,104.2
2018-06-01,115.6
2018-07-01,105.2
2018-08-01,119
2018-09-01,105.2
2018-10-01,114.1
2018-11-01,122.8
2018-12-01,115.4
2019-01-01,90.9
2019-02-01,80.7
2019-03-01,90.3
2019-04-01,93
2019-05-01,105.7
2019-06-01,111.8
2019-07-01,114
2019-08-01,118.9
2019-09-01,106.7
2019-10-01,112.9
2019-11-01,124.1
2019-12-01,113
2020-01-01,93.3
2020-02-01,87.9
2020-03-01,91.5
2020-04-01,110
2020-05-01,126.5
2020-06-01,141.3
2020-07-01,137.2
2020-08-01,129.5
2020-09-01,128.6
2020-10-01,133.9
2020-11-01,150
2020-12-01,134.9
2021-01-01,100.5
2021-02-01,93.7
2021-03-01,110.8
2021-04-01,107.5
2021-05-01,132.3
2021-06-01,154.7
2021-07-01,132.3
2021-08-01,133.9
2021-09-01,130.8
2021-10-01,130.8
2021-11-01,149.9
2021-12-01,136.9
2022-01-01,108.3
2022-02-01,98.1
2022-03-01,121.8
2022-04-01,117.6
2022-05-01,131
2022-06-01,143.6
2022-07-01,122.2
2022-08-01,135.2
2022-09-01,129.3
2022-10-01,127.9
2022-11-01,147.7
2022-12-01,126.6
2023-01-01,101.2
2023-02-01,92.7
2023-03-01,107.3
2023-04-01,98.1
2023-05-01,121.4
2023-06-01,134.1
2023-07-01,120.2
2023-08-01,130
2023-09-01,120.8
2023-10-01,119.4
2023-11-01,142.7
2023-12-01,118.1
